taxonomy_level	group1	group2	g1_n	g2_n	g1_occ	g2_occ	g1_mean	g1_variance	g2_variance	g2_mean	g1/g2	enrich	pvalue
kingdom	D001249:D001249	D006262:D001249	2628	6795	0.08443373493975903	0.21831325301204818	0.004050245430252159	4.4275074870615654e-05	0.00010488261451482935	0.005666812139038534	0.7147308452930906	D006262:D001249	5.233240994999829e-30
kingdom	D001249:D001249	D006262:D006262	2628	15576	0.08443373493975903	0.5004337349397591	0.004050245430252159	4.4275074870615654e-05	0.00013678705312463458	0.007151332539995419	0.5663623398297114	D006262:D006262	4.28769679348102e-90
kingdom	D006262:D001249	D006262:D006262	6795	15576	0.21831325301204818	0.5004337349397591	0.005666812139038534	0.00010488261451482935	0.00013678705312463458	0.007151332539995419	0.7924134568411728	D006262:D006262	2.33566978278593e-53
phylum	D001249:D001249	D006262:D001249	2628	6795	0.08443373493975903	0.21831325301204818	0.31039079902089395	0.024947220129487545	0.023563477173105994	0.28748666198779743	1.079670259742585	D001249:D001249	7.55889115573215e-13
phylum	D001249:D001249	D006262:D006262	2628	15576	0.08443373493975903	0.5004337349397591	0.31039079902089395	0.024947220129487545	0.02113094057109386	0.2626734819658265	1.1816601991870477	D001249:D001249	2.5478894270449298e-48
phylum	D006262:D001249	D006262:D006262	6795	15576	0.21831325301204818	0.5004337349397591	0.28748666198779743	0.023563477173105994	0.02113094057109386	0.2626734819658265	1.0944639703873842	D006262:D001249	7.2053518240185595e-40
class	D001249:D001249	D006262:D001249	2628	6795	0.08443373493975903	0.21831325301204818	0.323464562090269	0.02369743101618902	0.022119577593077897	0.30283003341206405	1.0681389769888754	D001249:D001249	5.0526430749722896e-11
class	D001249:D001249	D006262:D006262	2628	15576	0.08443373493975903	0.5004337349397591	0.323464562090269	0.02369743101618902	0.019860196423244002	0.2806593089251892	1.1525167767604307	D001249:D001249	5.71441107182932e-41
class	D006262:D001249	D006262:D006262	6795	15576	0.21831325301204818	0.5004337349397591	0.30283003341206405	0.022119577593077897	0.019860196423244002	0.2806593089251892	1.0789951509956313	D006262:D001249	1.5422861747105498e-33
order	D001249:D001249	D006262:D001249	2628	6795	0.08443373493975903	0.21831325301204818	0.37085931654347326	0.021623718121598814	0.020954421721940213	0.35068495350738205	1.057528453486005	D001249:D001249	2.7394988478264197e-12
order	D001249:D001249	D006262:D006262	2628	15576	0.08443373493975903	0.5004337349397591	0.37085931654347326	0.021623718121598814	0.019074831890880044	0.32793715192405243	1.13088533692383	D001249:D001249	1.33745403737767e-47
order	D006262:D001249	D006262:D006262	6795	15576	0.21831325301204818	0.5004337349397591	0.35068495350738205	0.020954421721940213	0.019074831890880044	0.32793715192405243	1.0693663448922	D006262:D001249	5.987924264341369e-40
family	D001249:D001249	D006262:D001249	2628	6795	0.08443373493975903	0.21831325301204818	0.453438630468924	0.01722486034005182	0.016987142360294017	0.431367974359646	1.0511643363002117	D001249:D001249	1.58822139431395e-10
family	D001249:D001249	D006262:D006262	2628	15576	0.08443373493975903	0.5004337349397591	0.453438630468924	0.01722486034005182	0.016125125041744525	0.41713851522621875	1.0870217299954172	D001249:D001249	1.2615361487621798e-40
family	D006262:D001249	D006262:D006262	6795	15576	0.21831325301204818	0.5004337349397591	0.431367974359646	0.016987142360294017	0.016125125041744525	0.41713851522621875	1.034112072163153	D006262:D001249	1.9924212889365e-34
genus	D001249:D001249	D006262:D001249	2628	6795	0.08443373493975903	0.21831325301204818	0.59531011968102	0.013419020307819985	0.01306806931780917	0.5775146511122732	1.0308138824434556	D001249:D001249	2.20322309386056e-05
genus	D001249:D001249	D006262:D006262	2628	15576	0.08443373493975903	0.5004337349397591	0.59531011968102	0.013419020307819985	0.013688649617494997	0.5697943044163182	1.044780748187435	D001249:D001249	7.226846794691959e-26
genus	D006262:D001249	D006262:D006262	6795	15576	0.21831325301204818	0.5004337349397591	0.5775146511122732	0.01306806931780917	0.013688649617494997	0.5697943044163182	1.0135493574367394	D006262:D001249	2.21728342181669e-28
species	D001249:D001249	D006262:D001249	2628	6795	0.08443373493975903	0.21831325301204818	0.7232444879748567	0.007117758118493441	0.00727942572203371	0.7076708127492837	1.022006948633461	D001249:D001249	1.6578379354445e-09
species	D001249:D001249	D006262:D006262	2628	15576	0.08443373493975903	0.5004337349397591	0.7232444879748567	0.007117758118493441	0.008111678899994148	0.6966909812267205	1.0381137512378606	D001249:D001249	1.70424292735727e-50
species	D006262:D001249	D006262:D006262	6795	15576	0.21831325301204818	0.5004337349397591	0.7076708127492837	0.00727942572203371	0.008111678899994148	0.6966909812267205	1.0157599736733065	D006262:D001249	1.6827860754622697e-55
